{'actor_lr': 0.0001,
 'buffer_size': 1000000,
 'critic_lr': 0.001,
 'gamma': 0.99,
 'max_episode_len': 500,
 'max_episodes': 1000,
 'minibatch_size': 64,
 'n_inputs': '128',
 'n_states': '1024',
 'random_seed': 42,
 'summary_dir': './results/tf_ddpg',
 'tau': 0.001}
| Coverage: 0.0014 (77/53847) | Reward: -410.0 | Episode: 0 | Qmax: 0.5021
| Coverage: 0.0052 (281/53847) | Reward: -206.0 | Episode: 1 | Qmax: 1.0121
| Coverage: 0.0040 (215/53847) | Reward: -280.0 | Episode: 2 | Qmax: 1.2025
| Coverage: 0.0023 (125/53847) | Reward: -374.0 | Episode: 3 | Qmax: 1.3803
| Coverage: 0.0012 (63/53847) | Reward: -436.0 | Episode: 4 | Qmax: 1.5135
| Coverage: 0.0025 (132/53847) | Reward: -356.0 | Episode: 5 | Qmax: 1.6270
| Coverage: 0.0004 (22/53847) | Reward: -478.0 | Episode: 6 | Qmax: 1.8274
| Coverage: 0.0037 (200/53847) | Reward: -290.0 | Episode: 7 | Qmax: 1.9322
| Coverage: 0.0030 (160/53847) | Reward: -336.0 | Episode: 8 | Qmax: 1.9033
| Coverage: 0.0020 (107/53847) | Reward: -384.0 | Episode: 9 | Qmax: 1.9185
| Coverage: 0.0018 (99/53847) | Reward: -394.0 | Episode: 10 | Qmax: 1.9042
| Coverage: 0.0043 (229/53847) | Reward: -268.0 | Episode: 11 | Qmax: 1.8450
| Coverage: 0.0032 (175/53847) | Reward: -316.0 | Episode: 12 | Qmax: 1.8935
| Coverage: 0.0013 (71/53847) | Reward: -424.0 | Episode: 13 | Qmax: 1.8471
| Coverage: 0.0018 (99/53847) | Reward: -398.0 | Episode: 14 | Qmax: 1.8342
| Coverage: 0.0018 (99/53847) | Reward: -394.0 | Episode: 15 | Qmax: 1.9047
| Coverage: 0.0033 (179/53847) | Reward: -320.0 | Episode: 16 | Qmax: 2.0915
| Coverage: 0.0045 (241/53847) | Reward: -246.0 | Episode: 17 | Qmax: 2.1330
| Coverage: 0.0026 (139/53847) | Reward: -358.0 | Episode: 18 | Qmax: 2.2641
| Coverage: 0.0035 (190/53847) | Reward: -298.0 | Episode: 19 | Qmax: 2.3148
| Coverage: 0.0026 (142/53847) | Reward: -354.0 | Episode: 20 | Qmax: 2.3442
| Coverage: 0.0023 (125/53847) | Reward: -370.0 | Episode: 21 | Qmax: 2.2973
| Coverage: 0.0016 (86/53847) | Reward: -412.0 | Episode: 22 | Qmax: 2.3032
| Coverage: 0.0001 (7/53847) | Reward: -492.0 | Episode: 23 | Qmax: 2.4439
| Coverage: 0.0030 (164/53847) | Reward: -332.0 | Episode: 24 | Qmax: 2.7624
| Coverage: 0.0022 (117/53847) | Reward: -380.0 | Episode: 25 | Qmax: 3.2571
| Coverage: 0.0017 (92/53847) | Reward: -408.0 | Episode: 26 | Qmax: 3.5647
| Coverage: 0.0006 (34/53847) | Reward: -466.0 | Episode: 27 | Qmax: 3.9553
| Coverage: 0.0003 (15/53847) | Reward: -484.0 | Episode: 28 | Qmax: 4.2648
| Coverage: 0.0017 (93/53847) | Reward: -404.0 | Episode: 29 | Qmax: 4.4921
| Coverage: 0.0026 (139/53847) | Reward: -356.0 | Episode: 30 | Qmax: 4.5534
| Coverage: 0.0006 (31/53847) | Reward: -468.0 | Episode: 31 | Qmax: 4.4091
| Coverage: 0.0003 (15/53847) | Reward: -484.0 | Episode: 32 | Qmax: 4.5611
| Coverage: 0.0005 (28/53847) | Reward: -472.0 | Episode: 33 | Qmax: 4.9245
| Coverage: 0.0024 (131/53847) | Reward: -364.0 | Episode: 34 | Qmax: 5.0722
| Coverage: 0.0028 (150/53847) | Reward: -342.0 | Episode: 35 | Qmax: 5.1156
| Coverage: 0.0012 (62/53847) | Reward: -432.0 | Episode: 36 | Qmax: 5.1171
| Coverage: 0.0009 (46/53847) | Reward: -454.0 | Episode: 37 | Qmax: 5.1635
| Coverage: 0.0002 (12/53847) | Reward: -488.0 | Episode: 38 | Qmax: 5.4681
| Coverage: 0.0002 (10/53847) | Reward: -490.0 | Episode: 39 | Qmax: 5.5701
| Coverage: 0.0001 (6/53847) | Reward: -494.0 | Episode: 40 | Qmax: 5.5865
| Coverage: 0.0006 (35/53847) | Reward: -464.0 | Episode: 41 | Qmax: 5.7282
| Coverage: 0.0012 (63/53847) | Reward: -436.0 | Episode: 42 | Qmax: 5.8796
| Coverage: 0.0042 (224/53847) | Reward: -264.0 | Episode: 43 | Qmax: 6.2507
| Coverage: 0.0032 (174/53847) | Reward: -324.0 | Episode: 44 | Qmax: 6.4985
| Coverage: 0.0021 (113/53847) | Reward: -382.0 | Episode: 45 | Qmax: 6.5092
| Coverage: 0.0029 (154/53847) | Reward: -346.0 | Episode: 46 | Qmax: 6.5929
| Coverage: 0.0052 (278/53847) | Reward: -202.0 | Episode: 47 | Qmax: 6.6143
| Coverage: 0.0029 (157/53847) | Reward: -334.0 | Episode: 48 | Qmax: 6.5025
| Coverage: 0.0041 (223/53847) | Reward: -272.0 | Episode: 49 | Qmax: 6.4070
| Coverage: 0.0032 (171/53847) | Reward: -318.0 | Episode: 50 | Qmax: 6.3208
| Coverage: 0.0026 (138/53847) | Reward: -360.0 | Episode: 51 | Qmax: 6.2363
| Coverage: 0.0014 (76/53847) | Reward: -422.0 | Episode: 52 | Qmax: 6.0696
| Coverage: 0.0017 (94/53847) | Reward: -406.0 | Episode: 53 | Qmax: 6.1412
| Coverage: 0.0010 (52/53847) | Reward: -448.0 | Episode: 54 | Qmax: 6.7144
| Coverage: 0.0018 (95/53847) | Reward: -400.0 | Episode: 55 | Qmax: 7.4240
| Coverage: 0.0039 (210/53847) | Reward: -288.0 | Episode: 56 | Qmax: 7.9162
| Coverage: 0.0032 (174/53847) | Reward: -312.0 | Episode: 57 | Qmax: 8.1324
| Coverage: 0.0020 (106/53847) | Reward: -386.0 | Episode: 58 | Qmax: 8.4054
| Coverage: 0.0006 (31/53847) | Reward: -464.0 | Episode: 59 | Qmax: 8.6256
| Coverage: 0.0007 (38/53847) | Reward: -462.0 | Episode: 60 | Qmax: 8.6781
| Coverage: 0.0036 (194/53847) | Reward: -304.0 | Episode: 61 | Qmax: 8.8597
| Coverage: 0.0000 (1/53847) | Reward: -498.0 | Episode: 62 | Qmax: 8.7463
| Coverage: 0.0020 (106/53847) | Reward: -392.0 | Episode: 63 | Qmax: 9.1259
| Coverage: 0.0041 (222/53847) | Reward: -270.0 | Episode: 64 | Qmax: 9.1814
| Coverage: 0.0045 (240/53847) | Reward: -256.0 | Episode: 65 | Qmax: 9.3120
| Coverage: 0.0001 (6/53847) | Reward: -494.0 | Episode: 66 | Qmax: 9.3574
| Coverage: 0.0043 (231/53847) | Reward: -256.0 | Episode: 67 | Qmax: 9.4999
| Coverage: 0.0005 (26/53847) | Reward: -474.0 | Episode: 68 | Qmax: 9.5998
| Coverage: 0.0017 (90/53847) | Reward: -410.0 | Episode: 69 | Qmax: 9.7944
| Coverage: 0.0001 (6/53847) | Reward: -490.0 | Episode: 70 | Qmax: 9.7952
| Coverage: 0.0035 (189/53847) | Reward: -304.0 | Episode: 71 | Qmax: 9.8315
| Coverage: 0.0020 (106/53847) | Reward: -390.0 | Episode: 72 | Qmax: 9.9505
| Coverage: 0.0009 (48/53847) | Reward: -448.0 | Episode: 73 | Qmax: 10.0441
| Coverage: 0.0005 (26/53847) | Reward: -464.0 | Episode: 74 | Qmax: 10.3332
| Coverage: 0.0007 (36/53847) | Reward: -464.0 | Episode: 75 | Qmax: 10.5038
| Coverage: 0.0050 (267/53847) | Reward: -226.0 | Episode: 76 | Qmax: 10.8373
| Coverage: 0.0016 (84/53847) | Reward: -412.0 | Episode: 77 | Qmax: 10.5254
| Coverage: 0.0017 (92/53847) | Reward: -406.0 | Episode: 78 | Qmax: 10.5505
| Coverage: 0.0019 (102/53847) | Reward: -396.0 | Episode: 79 | Qmax: 10.8106
| Coverage: 0.0023 (122/53847) | Reward: -372.0 | Episode: 80 | Qmax: 10.8774
| Coverage: 0.0024 (131/53847) | Reward: -368.0 | Episode: 81 | Qmax: 10.9768
| Coverage: 0.0037 (197/53847) | Reward: -296.0 | Episode: 82 | Qmax: 10.9586
| Coverage: 0.0038 (203/53847) | Reward: -290.0 | Episode: 83 | Qmax: 10.9904
| Coverage: 0.0021 (111/53847) | Reward: -388.0 | Episode: 84 | Qmax: 10.9394
| Coverage: 0.0008 (45/53847) | Reward: -454.0 | Episode: 85 | Qmax: 10.8617
| Coverage: 0.0030 (164/53847) | Reward: -332.0 | Episode: 86 | Qmax: 10.7624
| Coverage: 0.0014 (76/53847) | Reward: -424.0 | Episode: 87 | Qmax: 10.5858
| Coverage: 0.0007 (38/53847) | Reward: -462.0 | Episode: 88 | Qmax: 10.4478
| Coverage: 0.0022 (118/53847) | Reward: -380.0 | Episode: 89 | Qmax: 10.4190
| Coverage: 0.0003 (15/53847) | Reward: -484.0 | Episode: 90 | Qmax: 10.3447
| Coverage: 0.0024 (126/53847) | Reward: -370.0 | Episode: 91 | Qmax: 10.4388
| Coverage: 0.0039 (212/53847) | Reward: -280.0 | Episode: 92 | Qmax: 10.8429
| Coverage: 0.0038 (204/53847) | Reward: -290.0 | Episode: 93 | Qmax: 11.0320
| Coverage: 0.0032 (175/53847) | Reward: -312.0 | Episode: 94 | Qmax: 11.3727
| Coverage: 0.0007 (39/53847) | Reward: -456.0 | Episode: 95 | Qmax: 11.5618
| Coverage: 0.0033 (177/53847) | Reward: -314.0 | Episode: 96 | Qmax: 11.5427
| Coverage: 0.0029 (156/53847) | Reward: -336.0 | Episode: 97 | Qmax: 11.6931
| Coverage: 0.0007 (40/53847) | Reward: -460.0 | Episode: 98 | Qmax: 11.7086
| Coverage: 0.0039 (208/53847) | Reward: -284.0 | Episode: 99 | Qmax: 12.1495
| Coverage: 0.0004 (20/53847) | Reward: -480.0 | Episode: 100 | Qmax: 13.5792
| Coverage: 0.0013 (72/53847) | Reward: -428.0 | Episode: 101 | Qmax: 13.7003
| Coverage: 0.0006 (34/53847) | Reward: -466.0 | Episode: 102 | Qmax: 13.1468
| Coverage: 0.0007 (38/53847) | Reward: -462.0 | Episode: 103 | Qmax: 12.7206
| Coverage: 0.0023 (124/53847) | Reward: -376.0 | Episode: 104 | Qmax: 12.5690
| Coverage: 0.0004 (22/53847) | Reward: -478.0 | Episode: 105 | Qmax: 12.3976
| Coverage: 0.0006 (31/53847) | Reward: -468.0 | Episode: 106 | Qmax: 12.5609
| Coverage: 0.0024 (127/53847) | Reward: -368.0 | Episode: 107 | Qmax: 12.4262
| Coverage: 0.0032 (171/53847) | Reward: -328.0 | Episode: 108 | Qmax: 12.2791
| Coverage: 0.0017 (93/53847) | Reward: -394.0 | Episode: 109 | Qmax: 12.4194
| Coverage: 0.0001 (6/53847) | Reward: -494.0 | Episode: 110 | Qmax: 12.5340
| Coverage: 0.0013 (70/53847) | Reward: -430.0 | Episode: 111 | Qmax: 12.6497
| Coverage: 0.0005 (26/53847) | Reward: -474.0 | Episode: 112 | Qmax: 12.7448
| Coverage: 0.0036 (195/53847) | Reward: -288.0 | Episode: 113 | Qmax: 12.6806
| Coverage: 0.0004 (24/53847) | Reward: -476.0 | Episode: 114 | Qmax: 13.0640
