{'actor_lr': 0.0001,
 'buffer_size': 1000000,
 'critic_lr': 0.001,
 'gamma': 0.99,
 'max_episode_len': 500,
 'max_episodes': 1000,
 'minibatch_size': 64,
 'n_inputs': '32',
 'n_states': '256',
 'random_seed': 42,
 'summary_dir': './results/tf_ddpg',
 'tau': 0.001}
| Coverage: 0.0395 (52/1317) | Reward: -426.0 | Episode: 0 | Qmax: 0.3510
| Coverage: 0.0061 (8/1317) | Reward: -492.0 | Episode: 1 | Qmax: 0.6814
| Coverage: 0.0197 (26/1317) | Reward: -470.0 | Episode: 2 | Qmax: 0.6484
| Coverage: 0.0061 (8/1317) | Reward: -492.0 | Episode: 3 | Qmax: 0.6940
| Coverage: 0.0843 (111/1317) | Reward: -372.0 | Episode: 4 | Qmax: 0.9438
| Coverage: 0.0106 (13/1317) | Reward: -486.0 | Episode: 5 | Qmax: 1.1014
| Coverage: 0.0524 (69/1317) | Reward: -400.0 | Episode: 6 | Qmax: 1.2920
| Coverage: 0.0228 (30/1317) | Reward: -458.0 | Episode: 7 | Qmax: 1.5094
| Coverage: 0.0494 (65/1317) | Reward: -428.0 | Episode: 8 | Qmax: 1.6272
| Coverage: 0.0501 (66/1317) | Reward: -414.0 | Episode: 9 | Qmax: 1.8601
| Coverage: 0.0046 (6/1317) | Reward: -494.0 | Episode: 10 | Qmax: 2.3217
| Coverage: 0.0213 (27/1317) | Reward: -472.0 | Episode: 11 | Qmax: 2.7990
| Coverage: 0.0121 (16/1317) | Reward: -484.0 | Episode: 12 | Qmax: 2.9761
| Coverage: 0.0152 (20/1317) | Reward: -476.0 | Episode: 13 | Qmax: 3.2097
| Coverage: 0.0137 (18/1317) | Reward: -478.0 | Episode: 14 | Qmax: 3.2491
| Coverage: 0.0084 (11/1317) | Reward: -486.0 | Episode: 15 | Qmax: 2.8630
| Coverage: 0.0213 (27/1317) | Reward: -472.0 | Episode: 16 | Qmax: 2.5615
| Coverage: 0.0623 (82/1317) | Reward: -380.0 | Episode: 17 | Qmax: 1.9355
| Coverage: 0.0782 (103/1317) | Reward: -360.0 | Episode: 18 | Qmax: 0.7629
| Coverage: 0.0486 (64/1317) | Reward: -416.0 | Episode: 19 | Qmax: 0.6739
| Coverage: 0.0486 (64/1317) | Reward: -406.0 | Episode: 20 | Qmax: 0.9346
| Coverage: 0.0463 (61/1317) | Reward: -424.0 | Episode: 21 | Qmax: 1.1196
| Coverage: 0.0061 (8/1317) | Reward: -492.0 | Episode: 22 | Qmax: 1.4556
| Coverage: 0.0228 (30/1317) | Reward: -462.0 | Episode: 23 | Qmax: 1.7466
| Coverage: 0.0121 (16/1317) | Reward: -484.0 | Episode: 24 | Qmax: 2.1530
| Coverage: 0.0091 (12/1317) | Reward: -488.0 | Episode: 25 | Qmax: 2.3912
| Coverage: 0.0372 (49/1317) | Reward: -442.0 | Episode: 26 | Qmax: 2.1776
| Coverage: 0.0091 (12/1317) | Reward: -488.0 | Episode: 27 | Qmax: 2.2892
| Coverage: 0.0137 (18/1317) | Reward: -474.0 | Episode: 28 | Qmax: 2.2465
| Coverage: 0.0319 (42/1317) | Reward: -450.0 | Episode: 29 | Qmax: 2.2308
| Coverage: 0.0106 (13/1317) | Reward: -482.0 | Episode: 30 | Qmax: 2.4810
| Coverage: 0.0084 (11/1317) | Reward: -488.0 | Episode: 31 | Qmax: 3.3227
| Coverage: 0.0372 (49/1317) | Reward: -438.0 | Episode: 32 | Qmax: 3.3384
| Coverage: 0.0137 (18/1317) | Reward: -478.0 | Episode: 33 | Qmax: 3.5178
| Coverage: 0.0091 (12/1317) | Reward: -488.0 | Episode: 34 | Qmax: 3.6782
| Coverage: 0.0334 (44/1317) | Reward: -448.0 | Episode: 35 | Qmax: 3.7556
| Coverage: 0.0030 (4/1317) | Reward: -496.0 | Episode: 36 | Qmax: 3.9350
| Coverage: 0.0349 (46/1317) | Reward: -442.0 | Episode: 37 | Qmax: 3.9251
| Coverage: 0.0364 (48/1317) | Reward: -452.0 | Episode: 38 | Qmax: 3.8711
| Coverage: 0.0235 (31/1317) | Reward: -468.0 | Episode: 39 | Qmax: 3.7390
| Coverage: 0.0402 (53/1317) | Reward: -432.0 | Episode: 40 | Qmax: 3.6452
| Coverage: 0.0197 (26/1317) | Reward: -470.0 | Episode: 41 | Qmax: 3.2807
| Coverage: 0.0213 (27/1317) | Reward: -464.0 | Episode: 42 | Qmax: 3.4192
| Coverage: 0.0106 (13/1317) | Reward: -478.0 | Episode: 43 | Qmax: 3.5526
| Coverage: 0.0182 (24/1317) | Reward: -468.0 | Episode: 44 | Qmax: 4.2028
| Coverage: 0.0266 (35/1317) | Reward: -458.0 | Episode: 45 | Qmax: 4.1755
| Coverage: 0.0653 (86/1317) | Reward: -386.0 | Episode: 46 | Qmax: 4.2457
| Coverage: 0.0683 (90/1317) | Reward: -392.0 | Episode: 47 | Qmax: 4.4297
| Coverage: 0.0380 (50/1317) | Reward: -422.0 | Episode: 48 | Qmax: 4.2721
| Coverage: 0.0471 (62/1317) | Reward: -426.0 | Episode: 49 | Qmax: 3.8733
| Coverage: 0.0380 (50/1317) | Reward: -430.0 | Episode: 50 | Qmax: 3.6788
| Coverage: 0.0668 (88/1317) | Reward: -400.0 | Episode: 51 | Qmax: 3.5707
| Coverage: 0.0121 (16/1317) | Reward: -484.0 | Episode: 52 | Qmax: 3.8585
| Coverage: 0.0334 (44/1317) | Reward: -454.0 | Episode: 53 | Qmax: 3.4837
| Coverage: 0.0213 (27/1317) | Reward: -472.0 | Episode: 54 | Qmax: 3.5766
| Coverage: 0.0152 (20/1317) | Reward: -480.0 | Episode: 55 | Qmax: 3.7794
| Coverage: 0.0205 (27/1317) | Reward: -472.0 | Episode: 56 | Qmax: 3.9402
| Coverage: 0.0152 (20/1317) | Reward: -476.0 | Episode: 57 | Qmax: 3.8942
| Coverage: 0.0137 (18/1317) | Reward: -482.0 | Episode: 58 | Qmax: 3.9110
| Coverage: 0.0304 (40/1317) | Reward: -452.0 | Episode: 59 | Qmax: 3.8795
| Coverage: 0.0167 (22/1317) | Reward: -474.0 | Episode: 60 | Qmax: 4.4701
| Coverage: 0.0326 (43/1317) | Reward: -398.0 | Episode: 61 | Qmax: 4.2613
| Coverage: 0.0289 (38/1317) | Reward: -458.0 | Episode: 62 | Qmax: 4.3330
