{'actor_lr': 0.0001,
 'buffer_size': 1000000,
 'critic_lr': 0.001,
 'gamma': 0.99,
 'max_episode_len': 500,
 'max_episodes': 1000,
 'minibatch_size': 64,
 'n_inputs': '8',
 'n_states': '32',
 'random_seed': 42,
 'summary_dir': './results/tf_ddpg',
 'tau': 0.001}
| Coverage: 0.7126 (118/167) | Reward: 73.0 | Episode: 0 | Qmax: 1.2501
| Coverage: 0.6347 (106/167) | Reward: 29.0 | Episode: 1 | Qmax: 4.8856
| Coverage: 0.6228 (104/167) | Reward: 5.0 | Episode: 2 | Qmax: 4.6189
| Coverage: 0.5988 (99/167) | Reward: 13.0 | Episode: 3 | Qmax: 5.1023
| Coverage: 0.4731 (79/167) | Reward: 8.0 | Episode: 4 | Qmax: 6.3225
| Coverage: 0.5150 (85/167) | Reward: -3.0 | Episode: 5 | Qmax: 5.5492
| Coverage: 0.5988 (99/167) | Reward: -55.0 | Episode: 6 | Qmax: 6.2227
| Coverage: 0.6228 (104/167) | Reward: -23.0 | Episode: 7 | Qmax: 6.2601
| Coverage: 0.7006 (117/167) | Reward: 161.0 | Episode: 8 | Qmax: 6.5589
| Coverage: 0.7006 (117/167) | Reward: 219.0 | Episode: 9 | Qmax: 7.2644
| Coverage: 0.5689 (95/167) | Reward: 59.0 | Episode: 10 | Qmax: 7.2170
| Coverage: 0.6587 (110/167) | Reward: 155.0 | Episode: 11 | Qmax: 6.5908
| Coverage: 0.7365 (123/167) | Reward: 271.0 | Episode: 12 | Qmax: 6.7887
| Coverage: 0.8263 (138/167) | Reward: 2783.0 | Episode: 13 | Qmax: 7.2738
| Coverage: 0.7485 (125/167) | Reward: 191.0 | Episode: 14 | Qmax: 10.1612
| Coverage: 0.7305 (122/167) | Reward: 183.0 | Episode: 15 | Qmax: 16.1740
| Coverage: 0.7784 (130/167) | Reward: 761.0 | Episode: 16 | Qmax: 17.3709
| Coverage: 0.7365 (123/167) | Reward: 235.0 | Episode: 17 | Qmax: 28.6868
