episode 50: reward: 0.06529992406985573	 (86.0/1317)
episode 100: reward: 0.0774487471526196	 (102.00000000000001/1317)
episode 150: reward: 0.06757782839787396	 (89.00000000000001/1317)
episode 200: reward: 0.0721336370539104	 (95.0/1317)
episode 250: reward: 0.0721336370539104	 (95.0/1317)
episode 300: reward: 0.07972665148063782	 (105.0/1317)
episode 350: reward: 0.05011389521640091	 (66.0/1317)
episode 400: reward: 0.06226271829916477	 (82.0/1317)
episode 450: reward: 0.05770690964312832	 (76.0/1317)
episode 500: reward: 0.04859529233105543	 (64.0/1317)
episode 550: reward: 0.06378132118451026	 (84.00000000000001/1317)
episode 600: reward: 0.07896735003796507	 (104.0/1317)
episode 650: reward: 0.05770690964312832	 (76.0/1317)
episode 700: reward: 0.07365223993925589	 (97.0/1317)
episode 750: reward: 0.07517084282460136	 (98.99999999999999/1317)
episode 800: reward: 0.07972665148063782	 (105.0/1317)
episode 850: reward: 0.058466211085801065	 (77.0/1317)
episode 900: reward: 0.06985573272589218	 (92.0/1317)
episode 950: reward: 0.06226271829916477	 (82.0/1317)
episode 1000: reward: 0.06150341685649203	 (81.0/1317)
