episode 50: reward: 1.0	 (167.0/167)
episode 100: reward: 1.0	 (167.0/167)
episode 150: reward: 1.0	 (167.0/167)
episode 200: reward: 1.0	 (167.0/167)
episode 250: reward: 1.0	 (167.0/167)
episode 300: reward: 1.0	 (167.0/167)
episode 350: reward: 1.0	 (167.0/167)
episode 400: reward: 1.0	 (167.0/167)
episode 450: reward: 1.0	 (167.0/167)
episode 500: reward: 1.0	 (167.0/167)
episode 550: reward: 1.0	 (167.0/167)
episode 600: reward: 1.0	 (167.0/167)
episode 650: reward: 1.0	 (167.0/167)
episode 700: reward: 1.0	 (167.0/167)
episode 750: reward: 1.0	 (167.0/167)
episode 800: reward: 1.0	 (167.0/167)
episode 850: reward: 1.0	 (167.0/167)
episode 900: reward: 1.0	 (167.0/167)
episode 950: reward: 1.0	 (167.0/167)
episode 1000: reward: 1.0	 (167.0/167)
